Excel Row,Excel Title,Excel SKU,Primary SKU Searched,Shopify Product Title,Shopify Product ID,Shopify Product GID,Match Status,Match Method,Notes
56,Push Fit UPVC Plumbing Pipe ~6905,PCUPVCD202WH,PCUPVCD202WH,Push Fit UPVC Plumbing Pipe ~6905,15381733638530,gid://shopify/Product/15381733638530,MATCHED,GraphQL productVariants query by SKU,
57,PVC Cable Raceway Connector ~6930,PCTJ2516WHAPK,PCTJ2516WHAPK,PVC Cable Raceway Connector ~6930,15382138683778,gid://shopify/Product/15382138683778,MATCHED,GraphQL productVariants query by SKU,
58,PVC Pipe T-Shaped 3 Way Coupling Connector ~6887,PCTEL20WH5PK,PCTEL20WH5PK,PVC Pipe T-Shaped 3 Way Coupling Connector ~6887,15379898630530,gid://shopify/Product/15379898630530,MATCHED,GraphQL productVariants query by SKU,
59,Retro Purple Glass Ceiling Light Semi Flush E27 Industrial ~6721,PLHNBM+LSGLBT200PU+LDMST64E274,PLHNBM+LSGLBT200PU+LDMST64E274,Retro Purple Glass Ceiling Light Semi Flush E27 Industrial ~6721,15297532985730,gid://shopify/Product/15297532985730,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
60,Ribbed Amber Glass Pendant Shade ~6847,LSGLST148AR+RPM40WH,title_search:6847,Ribbed Amber Glass Pendant Shade ~6847,15368303673730,gid://shopify/Product/15368303673730,MATCHED,GraphQL productVariants query by SKU,Resolved via product number title search (6847)
61,Ribbed Glass Pendant Easy Fit Lampshade 14cm E27 ~6836,LSGL100145BL+RPM40WH,LSGL100145BL+RPM40WH,Ribbed Glass Pendant Easy Fit Lampshade 14cm E27 ~6836,15366507659650,gid://shopify/Product/15366507659650,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
62,Ribbed Glass Pendant Shade E27 Easy Fit Lampshade ~6860,LSGLLN14020AR+RPM40WH,LSGLLN14020AR+RPM40WH,Ribbed Glass Pendant Shade E27 Easy Fit Lampshade ~6860,15370562503042,gid://shopify/Product/15370562503042,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
63,Round Rocker Switch 10A ON Off Panel Mount for Junction Box ~6749,PCFL20YB+SWCRD16BM+RW12CO2PK,PCFL20YB+SWCRD16BM+RW12CO2PK,Round Rocker Switch 10A ON Off Panel Mount for Junction Box ~6749,15306010296706,gid://shopify/Product/15306010296706,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
64,Round Rocker Switch 10A ON Off Panel Mount for Junction Box ~6750,PCFL20SN+SWCRD16BM+RW12CH2PK,PCFL20SN+SWCRD16BM+RW12CH2PK,Round Rocker Switch 10A ON Off Panel Mount for Junction Box ~6750,15306011738498,gid://shopify/Product/15306011738498,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
65,Round Rocker Switch 10A ON Off Panel Mount for Junction Box ~6751,PCFL20CO+SWCRD16BM+RW12CO2PK,PCFL20CO+SWCRD16BM+RW12CO2PK,Round Rocker Switch 10A ON Off Panel Mount for Junction Box ~6751,15306050175362,gid://shopify/Product/15306050175362,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
