ProductId,Current stock,2026-07-13
CRSF100BM+PHSQ1PBRBM+WCSLBM+ICST64E27,287,282
LSRP260CH+RPR44WH,244,239
LSOL180BC+RPR44WH,234,404
CRFF500WH+PHCH1PWRSBL3PK+LSSS300BL3PK,38,22
CRFF140GL+LHNSE27YB+SCRN70BM+LSTL260BI+LDMST64E274,0,0
12IP67250,128,95
LDCWB2212APK,0,0
LSRP260GB+RPR44WH,226,162
CRSF100GY2PK+WSCH135GY2PK+LSDO210GY2PK,51,53
WCB5RR,134,125
LDCWE2712,-56,0
CRSF100CO+PHCN1PBRCO+LSSS300CO+ICST64E27,382,319
12BO100,614,557
CRSF100BM+PHSH1PBRYB+LSSS300BM,842,869
PLBXBM+PCGZ250TP+PCRNSR+PCGZ30NT+LHTTE27BM+RPM40BM+LSMS320BI+LDCWE2715,148,143
WCB2BM,542,348
LSMS320GY+RPR44WH,1106,1228
CRSF100BM+PHSQ1PBRYB+LSFT220GR+LDMST64E274,0,1306
CRSF2003WH+PHCH1PWRSRE3PK+LSDO210RE3PK,36,52
CRSF100BM+PHSQ1PBRYB+LSFT220BL,0,708
CRSF2003WH+PHCH1PWRSGR3PK+LSDO210GR3PK,18,0
CRSF125BM+TPWDWO+PHPO1PBRBM+ICST64E27,0,0
12BO72,623,576
LSTF40GB+RPR44WH,201,134
LSFT220CO+RPR44WH,789,591
ENC4733,309,304
CRSF100YE2PK+WSCH135YE2PK+LSDO210YE2PK,15,44
WCB5BS,40,37
ENC4379,2,43
ENC4203,64,53
CRFF500WH+PHCH1PWRSGR3PK+LSCY290GR3PK,18,0
WCB2BC,147,64
ENC4202,65,63
CRFF500WH+PHCH1PWRSBL3PK+WCDTBL3PK,57,15
LDCWE27123PK,0,0
ENC4290,92,74
CRFF500WH+PHCH1PWRSBL3PK+LSCY290BL3PK,68,60
LDWWB22122PK,0,0
CRFF500BM+PHRI1PCRCH3PK+LSHH240BM3PK,47,29
ENC4099,95,76
CRSF100BM+PHCN1PBRBM+LSSS300BI+ICST64E27,632,481
CRFF140GL+LHNSE27YB+SCRN70BM+LSFT220WH+ICST64E27,44,773
ENC4088,52,39
ENC4194,305,0
