product_item_id,shopify_id,sku,title,status,quantity,listing_max_platform_stock,compare_price,price,merch_avail,merch_sale_price,spend_30d,clicks_30d
7982908342522,7982908342522,,"5Pack Rose Gold Pendant Light,E27 Lamp Holder Ceiling Hanging Light,PVC Cable~4239",active,,,,,IN_STOCK,32.89,1.29,2
7982908342522,7982908342522,,"5Pack Rose Gold Pendant Light,E27 Lamp Holder Ceiling Hanging Light,PVC Cable~4239",active,,,,,IN_STOCK,,1.29,2
4417282736224,4417282736224,,1M/5M/10M 3 Core Vintage Twisted Yellow and Black Fabric Lighting Cable ~3000,active,,,,,IN_STOCK,1.35,1.25,1
4417282736224,4417282736224,,1M/5M/10M 3 Core Vintage Twisted Yellow and Black Fabric Lighting Cable ~3000,active,,,,,IN_STOCK,,1.25,1
4537521242208,4537521242208,,5 Pack Metal Cord Grip Cable Lock for Lamp Pendant ~2411,active,,,,,IN_STOCK,,1.24,5
7692736659706,7692736659706,,LED Bulbs Bayonet ST64 B22 4W Dimmable Filament Edison Light Bulbs ~3874,active,,,,,IN_STOCK,,1.07,2
4460365283424,4460365283424,,E27 Satin Nickel Vintage Retro Smooth Metal Lamp Holder~2725,active,,,,,IN_STOCK,,1.04,2
4498548260960,4498548260960,,White Vintage Industrial Ceiling Lights Retro Shade Pendant Sconce Lamp~2597,active,,,,,IN_STOCK,,0.96,2
4417275461728,4417275461728,,Vintage LED Filament Bulb Bayonet G95 B22 8W Dimmable LED Globe Bulb ~3085,active,,,,,IN_STOCK,7.39,0.96,3
7985984143610,7985984143610,,Modern Metal E27 Bugundy Teardrop Pendant Light Hanging Light Fixture ~4402,active,,,,,IN_STOCK,16.99,0.93,4
8107412750586,8107412750586,,8-Way Spider Light Cone Shade Pendant Light~5136,active,,,,,IN_STOCK,,0.93,3
8107412750586,8107412750586,,8-Way Spider Light Cone Shade Pendant Light~5136,active,,,,,IN_STOCK,71.89,0.93,3
7985984143610,7985984143610,,Modern Metal E27 Bugundy Teardrop Pendant Light Hanging Light Fixture ~4402,active,,,,,IN_STOCK,,0.93,4
4460365480032,4460365480032,,E27 Matt Black Vintage Barrel Metal Lamp Holder~2720,active,,,,,IN_STOCK,,0.92,2
8010492346618,8010492346618,,Modern Black Wood Wall Sconce | Rotatable E27 Wall Lamp ~4726,active,,,,,IN_STOCK,,0.90,3
8010492346618,8010492346618,,Modern Black Wood Wall Sconce | Rotatable E27 Wall Lamp ~4726,active,,,,,IN_STOCK,17.29,0.90,3
4417257013344,4417257013344,,AC 100/240V to DC12V 300W Regulated Switching Power Supply Driver~3335,active,,,,,IN_STOCK,,0.84,3
5245805789345,5245805789345,,E27 Ceiling Rose Light Fitting Vintage Industrial Pendant Lamp Bulb Holder Light ~2208,active,,,,,IN_STOCK,,0.82,4
8630672883962,8630672883962,,100mm  Metal mounting  Ceiling Rose For Light Fitting ~5528,active,,,,,IN_STOCK,10.25,0.81,3
8005801738490,8005801738490,,Rose Pink 3 Core Round Vintage Braided Fabric Cable–0.75mm~4544,active,,,,,IN_STOCK,,0.62,2
7691129749754,7691129749754,,Retro Easy Fit Light Shade 13cm Metal E27 Cyan blueLampshade~3897,active,,,,,IN_STOCK,8.39,0.62,4
4417268023392,4417268023392,,1M/5M/10M 3 core Round Vintage Braided Fabric Red Cable Flex 0.75mm~3226,active,,,,,IN_STOCK,,0.62,2
4417268023392,4417268023392,,1M/5M/10M 3 core Round Vintage Braided Fabric Red Cable Flex 0.75mm~3226,active,,,,,IN_STOCK,2.79,0.62,2
7691129749754,7691129749754,,Retro Easy Fit Light Shade 13cm Metal E27 Cyan blueLampshade~3897,active,,,,,IN_STOCK,,0.62,4
8161314111738,8161314111738,,Plug in Wall Lighting 2M Cable Dimmer Switch Light Fittings~5303,active,,,,,IN_STOCK,22.59,0.57,3
8161314111738,8161314111738,,Plug in Wall Lighting 2M Cable Dimmer Switch Light Fittings~5303,active,,,,,IN_STOCK,,0.57,3
7910139199738,7910139199738,,235mm Ceiling Rose Strap Side fitting Bracket~4119,active,,,,,IN_STOCK,2.69,0.56,4
6986388209825,6986388209825,,LED 4W ST64 E27 Warm White 2700K Dimmable Bulb(Energy Saving)~1200,active,,,,,IN_STOCK,,0.56,3
14919907639682,14919907639682,,E27 Metal Lamp Holder 60W– Heat-Resistant Plastic Cord Grip~5725,active,,,,,IN_STOCK,,0.56,4
6986388209825,6986388209825,,LED 4W ST64 E27 Warm White 2700K Dimmable Bulb(Energy Saving)~1200,active,,,,,IN_STOCK,3.79,0.56,3
6856618082465,6856618082465,,Vintage Pendant Ceiling Shade Industrial Chandelier Light Retro Lamp UK~1350,active,,,,,IN_STOCK,,0.54,2
5282330738849,5282330738849,,Diamond Easy Fit Lamp Shade Metal Cage~2191,active,,,,,IN_STOCK,,0.54,3
