product_item_id,product_id,variant_id,sku,product_title,campaign_id,site,status,quantity,compare_price,current_price,total_clicks,total_spend,total_conversions,total_conversion_value,compare_price_bucket
shopify_gb_4538256097376_31931236286560,4538256097376,31931236286560,CBSF100,Default Title,21242723265,UK,active,2704,0.00,4.67,2,0.38,0.00,0.00,ZERO
shopify_gb_6773916827809_40092224487585,6773916827809,40092224487585,PHDC1PBRBX,No,23110323532,UK,active,112,,6.85,1,0.37,0.00,0.00,NULL
shopify_gb_6931062784161_40629275099297,6931062784161,40629275099297,CRFF140GL+LHNSE27YB+SCRN70BM+LSDO210BC,Brushed Copper / No,22079334413,UK,active,287,0.00,15.20,1,0.34,0.00,0.00,ZERO
shopify_gb_14883343040898_54887601013122,14883343040898,54887601013122,CRSF100BS+PHCH1PBRBS+LSHH240BS,Brushed Silver / 24CM,21069663519,UK,active,0,0.00,12.15,1,0.34,0.00,0.00,ZERO
shopify_gb_4417286537312_44528750985466,4417286537312,44528750985466,LHCNE27GB,Green Brass,22079334413,UK,active,78,,5.89,1,0.33,0.00,0.00,NULL
shopify_gb_14876294447490_54864089907586,14876294447490,54864089907586,COT85IP683YE,Yellow T Connector,21242723265,UK,active,310,0.00,3.49,1,0.31,0.00,0.00,ZERO
shopify_gb_14878271373698_54869118550402,14878271373698,54869118550402,PCBS16T10BM3PK,3 PACK,21069663519,UK,active,447,,0.67,1,0.31,0.00,0.00,NULL
shopify_gb_7702867378426_43102380949754,7702867378426,43102380949754,LSBS160BL,Default Title,22079334413,UK,active,15,,9.89,1,0.29,0.00,0.00,NULL
shopify_gb_14882318418306_54884383097218,14882318418306,54884383097218,PCSN220BM,Black,22079334413,UK,active,42,0.00,4.89,1,0.27,0.00,0.00,ZERO
shopify_gb_14880702562690_54900936704386,14880702562690,54900936704386,ENC2324,Yes / White,23110323532,UK,active,90,,21.85,1,0.26,0.00,0.00,NULL
shopify_gb_7502163738874_42242486042874,7502163738874,42242486042874,ENC2229,Green Brass / No,23110323532,UK,active,246,0.00,35.99,1,0.25,0.00,0.00,ZERO
shopify_gb_4417286537312_44528750854394,4417286537312,44528750854394,LHCNE27CO,Copper,21242723265,UK,active,106,,5.89,1,0.24,0.00,0.00,NULL
shopify_gb_6756420288673_42898906087674,6756420288673,42898906087674,CRFF75BA,MatBlack,23110323532,UK,active,228,0.00,4.49,1,0.23,0.00,0.00,ZERO
shopify_gb_5661709566113_36144112205985,5661709566113,36144112205985,WJB3,Default Title,21242723265,UK,active,542,,4.29,1,0.23,0.00,0.00,NULL
shopify_gb_4417262125152_31497535455328,4417262125152,31497535455328,PHSF1AGRGB+SCRN70BM,Default Title,22079334413,UK,active,190,,11.49,1,0.18,0.00,0.00,NULL
shopify_gb_5278378393761_34613221884065,5278378393761,34613221884065,CRSF100CO+LHNSE27CO+LSSS300CO,Default Title,23590572906,UK,active,366,,22.99,1,0.17,0.00,0.00,NULL
shopify_gb_8013925777658_44535007281402,8013925777658,44535007281402,LHTPE27KGB,Green Brass,21242723265,UK,active,48,,6.19,1,0.16,0.00,0.00,NULL
shopify_gb_7865865437434_43763710034170,7865865437434,43763710034170,LHC5E27WHAPK,10 Pack,23590572906,UK,active,437,,44.89,1,0.16,0.00,0.00,NULL
shopify_gb_7865865437434_43763710132474,7865865437434,43763710132474,LHC5E27WH3PK,3 Pack,21069663519,UK,active,1457,,13.89,1,0.15,0.00,0.00,NULL
shopify_gb_7986253037818_54996685422978,7986253037818,54996685422978,LHRIE14BM5PK,Pack 5,21242723265,UK,active,245,,5.39,1,0.15,0.00,0.00,NULL
shopify_gb_8115372130554_44903101006074,8115372130554,44903101006074,CRFF100BM+PHSH1PBRYB+LSDO210BL+ICST64E27,Blue / Yes,23110323532,UK,active,47,0.00,17.89,1,0.14,0.00,0.00,ZERO
shopify_gb_4542939234400_31949919715424,4542939234400,31949919715424,CRSF120BM+HK10BM,1 Outlet,21242723265,UK,active,0,,6.48,1,0.14,0.00,0.00,NULL
shopify_gb_8166990774522_45152882688250,8166990774522,45152882688250,ENC3729,Yellow / Yes,23110323532,UK,active,106,0.00,17.90,1,0.14,0.00,0.00,ZERO
shopify_gb_8013925777658_44535024386298,8013925777658,44535024386298,LHTPE27KCH,Chrome,21242723265,UK,active,40,,6.19,1,0.14,0.00,0.00,NULL
shopify_gb_14920702984578_54994980077954,14920702984578,54994980077954,LHRTE27WHAPK,Pack 10,21242723265,UK,active,291,0.00,10.69,1,0.12,0.00,0.00,ZERO
shopify_gb_15065242534274_55554037776770,15065242534274,55554037776770,CERU36200WH,White 200 x 3.6 mm,23110323532,UK,active,357,,0.79,1,0.11,0.00,0.00,NULL
shopify_gb_5661709303969_36144111911073,5661709303969,36144111911073,WJB2,Default Title,21242723265,UK,active,241,,3.15,1,0.11,0.00,0.00,NULL
shopify_gb_15370555851138_56782109475202,15370555851138,56782109475202,CRSFWR1CHWO,Natural Wood Centre Hole,21242723265,UK,active,100,,7.59,2,0.10,0.00,0.00,NULL
shopify_gb_5240106352801_34419249119393,5240106352801,34419249119393,CO125ACL,5A / 1,21242723265,UK,active,1515,,0.34,1,0.10,0.50,2.09,NULL
shopify_gb_4417292697696_31497613213792,4417292697696,31497613213792,NFCP7,Default Title,21242723265,UK,active,47,,1.39,1,0.07,0.00,0.00,NULL
shopify_gb_14872904171906_54855627047298,14872904171906,54855627047298,CBSF95,95mm / 1,21242723265,UK,active,3987,0.00,4.39,1,0.07,0.00,0.00,ZERO
shopify_gb_8162308653306_45129094529274,8162308653306,45129094529274,LSCO335OR+RPR44WH,Orange / Pack 1,22079334413,UK,active,44,,11.49,1,0.07,0.00,0.00,NULL
shopify_gb_14883184509314_54887079870850,14883184509314,54887079870850,LCCADF3PK,DC Female Plug,21069663519,UK,active,17,,4.69,1,0.07,0.00,0.00,NULL
shopify_gb_6026337484961_37561599492257,6026337484961,37561599492257,CRSF100BL+PHTT1PWRBL,Default Title,22079334413,UK,active,63,0.00,6.45,1,0.07,0.00,0.00,ZERO
shopify_gb_14909203972482_54977935901058,14909203972482,54977935901058,LHBGE27BM6PK,6 Pack,22079334413,UK,active,223,,6.19,0,0.05,0.00,0.00,NULL
shopify_gb_8555927666938_46384615719162,8555927666938,46384615719162,CBSFRO1152PK,Default Title,21242723265,UK,active,245,,12.89,2,0.04,0.00,0.00,NULL
shopify_gb_14907263746434_55015788151170,14907263746434,55015788151170,PHSHF1PBRYB+LSTL260BG+ICST64E27,Top Shade small / Yes,22079334413,UK,active,56,,18.71,0,0.03,0.00,0.00,NULL
shopify_gb_4531826688096_31896684757088,4531826688096,31896684757088,LHBRE14BM3PK,Default Title,21242723265,UK,active,486,,4.53,1,0.02,0.00,0.00,NULL
shopify_gb_8062184456442_44717261193466,8062184456442,44717261193466,CRFF500FG+WCCY1ROGD3PK+LDDTCE27123PK,French Gold / Yes,23110323532,UK,active,46,,51.89,0,0.01,0.00,0.00,NULL
shopify_gb_8053217886458_44694244458746,8053217886458,44694244458746,ENC5651,Yes,23110323532,UK,active,347,,31.69,0,0.01,0.00,0.00,NULL
shopify_gb_5928354644129_37208304877729,5928354644129,37208304877729,PCRNFF,Default Title,21242723265,UK,active,805,0.00,1.19,1,0.01,0.00,0.00,ZERO
shopify_gb_7692731384058_46425795821818,7692731384058,46425795821818,ENC3680,Yes / Green,23110323532,UK,active,15,0.00,40.49,0,0.01,0.00,0.00,ZERO
shopify_gb_6749406855329_39991304323233,6749406855329,39991304323233,CRFF5004BM+PHHT1PBRBM4PK+WCLDBM4PK,Default Title,23110323532,UK,active,110,,46.39,0,0.01,0.00,0.00,NULL
shopify_gb_4542939234400_31949920010336,4542939234400,31949920010336,CRSF1209BM+HK10BM9PK,9 Outlet,23110323532,UK,active,0,,15.98,0,0.01,0.00,0.00,NULL
shopify_gb_8630295331066_46692068491514,8630295331066,46692068491514,CRSF100LBM2PK,Black / Pack 2,22079334413,UK,active,114,,9.59,0,0.01,0.00,0.00,NULL
